"Plot","RecNo","Day","Month","Hour","Min","CO2_Ref","mb_Ref","mbR_Temp","Input_A","Input_B","Input_C","Input_D","Input_E","Input_F","Input_G","Input_H","ATMP","Probe Type","filename","Sec"
14,1,18,7,12,11,585,0,0,0,0,26.1,0,0,0,2,0,1014,8,"July182013P22.dat",0
14,2,18,7,12,11,581,0,0,0,0,26.1,0,4,0,2,0,1013,8,"July182013P22.dat",10
14,3,18,7,12,11,581,0,0,0,0,26.2,0,9,0,2,0,1014,8,"July182013P22.dat",20
14,4,18,7,12,11,581,0,0,0,0,26.2,3,14,-0.99,2,1,1014,8,"July182013P22.dat",30
14,5,18,7,12,11,583,0,0,0,0,26.2,2,19,-0.81,2,1,1013,8,"July182013P22.dat",40
14,6,18,7,12,11,583,0,0,0,0,26.3,0,24,-0.59,2,1,1013,8,"July182013P22.dat",50
14,7,18,7,12,11,584,0,0,0,0,26.3,0,28,0.01,2,0,1013,8,"July182013P22.dat",60
14,8,18,7,12,11,583,0,0,0,0,26.3,0,33,0.02,2,0,1014,8,"July182013P22.dat",70
14,9,18,7,12,11,585,0,0,0,0,26.3,1,38,0.04,2,0,1013,8,"July182013P22.dat",80
14,10,18,7,12,12,585,0,0,0,0,26.3,2,43,0.05,2,0,1013,8,"July182013P22.dat",90
14,11,18,7,12,12,586,0,0,0,0,26.3,3,48,0.06,2,0,1013,8,"July182013P22.dat",100
14,12,18,7,12,12,586,0,0,0,0,26.4,4,52,0.07,2,0,1013,8,"July182013P22.dat",110
14,13,18,7,12,12,586,0,0,0,0,26.4,4,57,0.07,2,0,1014,8,"July182013P22.dat",120
14,14,18,7,12,12,587,0,0,0,0,26.4,5,62,0.08,2,0,1013,8,"July182013P22.dat",130
14,15,18,7,12,12,588,0,0,0,0,26.4,6,67,0.08,2,0,1013,8,"July182013P22.dat",140
14,16,18,7,12,12,588,0,0,0,0,26.4,6,72,0.08,2,0,1014,8,"July182013P22.dat",150
14,17,18,7,12,12,589,0,0,0,0,26.5,7,76,0.09,2,0,1013,8,"July182013P22.dat",160
14,18,18,7,12,12,590,0,0,0,0,26.5,8,81,0.09,2,0,1013,8,"July182013P22.dat",170
14,19,18,7,12,12,590,0,0,0,0,26.5,8,86,0.09,2,0,1014,8,"July182013P22.dat",180
14,20,18,7,12,12,590,0,0,0,0,26.5,9,91,0.09,2,0,1014,8,"July182013P22.dat",190
14,21,18,7,12,12,591,0,0,0,0,26.5,9,96,0.09,2,0,1013,8,"July182013P22.dat",200
14,22,18,7,12,13,591,0,0,0,0,26.5,10,100,0.09,2,0,1013,8,"July182013P22.dat",210
14,23,18,7,12,13,592,0,0,0,0,26.5,10,105,0.09,2,0,1013,8,"July182013P22.dat",220
14,24,18,7,12,13,592,0,0,0,0,26.6,11,110,0.09,2,0,1014,8,"July182013P22.dat",230
14,25,18,7,12,13,593,0,0,0,0,26.6,11,115,0.09,2,0,1013,8,"July182013P22.dat",240
14,26,18,7,12,13,594,0,0,0,0,26.6,12,120,0.09,2,0,1013,8,"July182013P22.dat",250
14,27,18,7,12,13,595,0,0,0,0,26.6,13,124,0.1,2,0,1013,8,"July182013P22.dat",260
14,28,18,7,12,13,596,0,0,0,0,26.6,13,129,0.1,2,0,1013,8,"July182013P22.dat",270
14,29,18,7,12,13,596,0,0,0,0,26.6,14,134,0.1,2,0,1014,8,"July182013P22.dat",280
14,30,18,7,12,13,596,0,0,0,0,26.6,15,139,0.1,2,0,1014,8,"July182013P22.dat",290
14,31,18,7,12,13,597,0,0,0,0,26.6,15,144,0.1,2,0,1013,8,"July182013P22.dat",300
14,32,18,7,12,13,598,0,0,0,0,26.7,16,148,0.1,2,0,1013,8,"July182013P22.dat",310
14,33,18,7,12,13,599,0,0,0,0,26.7,17,153,0.1,2,0,1013,8,"July182013P22.dat",320
15,1,18,7,12,7,833,0,0,0,0,23.4,0,0,0,2,0,1013,8,"July182013P22.dat",0
15,2,18,7,12,7,828,0,0,0,0,23.4,0,4,0,2,0,1013,8,"July182013P22.dat",10
15,3,18,7,12,7,828,0,0,0,0,23.3,0,9,0,2,0,1013,8,"July182013P22.dat",20
15,4,18,7,12,7,828,0,0,0,0,23.3,4,14,-1.19,2,1,1013,8,"July182013P22.dat",30
15,5,18,7,12,7,830,0,0,0,0,23.3,2,19,-0.94,2,1,1013,8,"July182013P22.dat",40
15,6,18,7,12,7,832,0,0,0,0,23.2,0,24,-0.74,2,1,1013,8,"July182013P22.dat",50
15,7,18,7,12,8,833,0,0,0,0,23.2,2,28,-0.56,2,1,1013,8,"July182013P22.dat",60
15,8,18,7,12,8,835,0,0,0,0,23.2,4,33,0.13,2,0,1013,8,"July182013P22.dat",70
15,9,18,7,12,8,837,0,0,0,0,23.2,6,38,0.17,2,0,1013,8,"July182013P22.dat",80
15,10,18,7,12,8,839,0,0,0,0,23.2,9,43,0.2,2,0,1013,8,"July182013P22.dat",90
15,11,18,7,12,8,841,0,0,0,0,23.2,11,48,0.23,2,0,1013,8,"July182013P22.dat",100
15,12,18,7,12,8,843,0,0,0,0,23.1,14,52,0.25,2,0,1013,8,"July182013P22.dat",110
15,13,18,7,12,8,845,0,0,0,0,23.1,16,57,0.27,2,0,1013,8,"July182013P22.dat",120
15,14,18,7,12,8,847,0,0,0,0,23.1,18,62,0.29,2,0,1013,8,"July182013P22.dat",130
15,15,18,7,12,8,849,0,0,0,0,23.1,21,67,0.3,2,0,1013,8,"July182013P22.dat",140
15,16,18,7,12,8,851,0,0,0,0,23.1,23,72,0.31,2,0,1013,8,"July182013P22.dat",150
15,17,18,7,12,8,854,0,0,0,0,23.1,26,76,0.32,2,0,1013,8,"July182013P22.dat",160
15,18,18,7,12,8,856,0,0,0,0,23.1,28,81,0.33,2,0,1013,8,"July182013P22.dat",170
15,19,18,7,12,8,857,0,0,0,0,23.1,30,86,0.34,2,0,1014,8,"July182013P22.dat",180
15,20,18,7,12,9,860,0,0,0,0,23.1,33,91,0.34,2,0,1013,8,"July182013P22.dat",190
15,21,18,7,12,9,862,0,0,0,0,23.1,35,96,0.35,2,0,1013,8,"July182013P22.dat",200
15,22,18,7,12,9,865,0,0,0,0,23.1,37,100,0.36,2,0,1013,8,"July182013P22.dat",210
15,23,18,7,12,9,867,0,0,0,0,23.1,40,105,0.36,2,0,1013,8,"July182013P22.dat",220
15,24,18,7,12,9,869,0,0,0,0,23,42,110,0.37,2,0,1013,8,"July182013P22.dat",230
15,25,18,7,12,9,870,0,0,0,0,23,45,115,0.37,2,0,1014,8,"July182013P22.dat",240
15,26,18,7,12,9,874,0,0,0,0,23,47,120,0.38,2,0,1013,8,"July182013P22.dat",250
15,27,18,7,12,9,876,0,0,0,0,23,50,124,0.38,2,0,1013,8,"July182013P22.dat",260
15,28,18,7,12,9,877,0,0,0,0,23,52,129,0.38,2,0,1014,8,"July182013P22.dat",270
15,29,18,7,12,9,879,0,0,0,0,23,54,134,0.39,2,0,1014,8,"July182013P22.dat",280
15,30,18,7,12,9,883,0,0,0,0,23,57,139,0.39,2,0,1013,8,"July182013P22.dat",290
15,31,18,7,12,9,885,0,0,0,0,23,59,144,0.4,2,0,1013,8,"July182013P22.dat",300
15,32,18,7,12,10,887,0,0,0,0,23,62,148,0.4,2,0,1013,8,"July182013P22.dat",310
15,33,18,7,12,10,888,0,0,0,0,23,64,153,0.4,2,0,1014,8,"July182013P22.dat",320
16,1,18,7,12,3,543,0,0,0,0,29.1,0,0,0,0,0,1013,8,"July182013P22.dat",0
16,2,18,7,12,3,553,0,0,0,0,29,0,4,0,0,0,1013,8,"July182013P22.dat",10
16,3,18,7,12,3,561,0,0,0,0,29,0,9,0,0,0,1013,8,"July182013P22.dat",20
16,4,18,7,12,4,571,0,0,0,0,29,27,14,1.7,2,0,1013,8,"July182013P22.dat",30
16,5,18,7,12,4,580,0,0,0,0,28.9,36,19,1.77,2,0,1013,8,"July182013P22.dat",40
16,6,18,7,12,4,590,0,0,0,0,28.9,46,24,1.73,2,0,1013,8,"July182013P22.dat",50
16,7,18,7,12,4,600,0,0,0,0,28.9,56,28,1.72,2,0,1013,8,"July182013P22.dat",60
16,8,18,7,12,4,609,0,0,0,0,28.9,66,33,1.8,2,0,1013,8,"July182013P22.dat",70
16,9,18,7,12,4,620,0,0,0,0,28.8,76,38,1.79,2,0,1013,8,"July182013P22.dat",80
16,10,18,7,12,4,630,0,0,0,0,28.8,86,43,1.79,2,0,1013,8,"July182013P22.dat",90
16,11,18,7,12,4,639,0,0,0,0,28.8,96,48,1.83,2,0,1013,8,"July182013P22.dat",100
16,12,18,7,12,4,650,0,0,0,0,28.8,106,52,1.84,2,0,1013,8,"July182013P22.dat",110
16,13,18,7,12,4,660,0,0,0,0,28.8,117,57,1.85,2,0,1013,8,"July182013P22.dat",120
16,14,18,7,12,4,668,0,0,0,0,28.8,126,62,1.89,2,0,1013,8,"July182013P22.dat",130
16,15,18,7,12,4,679,0,0,0,0,28.7,136,67,1.89,2,0,1013,8,"July182013P22.dat",140
16,16,18,7,12,4,690,0,0,0,0,28.7,146,72,1.89,2,0,1013,8,"July182013P22.dat",150
16,17,18,7,12,5,699,0,0,0,0,28.7,156,76,1.9,2,0,1013,8,"July182013P22.dat",160
16,18,18,7,12,5,709,0,0,0,0,28.7,166,81,1.9,2,0,1013,8,"July182013P22.dat",170
16,19,18,7,12,5,718,0,0,0,0,28.7,176,86,1.92,2,0,1013,8,"July182013P22.dat",180
16,20,18,7,12,5,727,0,0,0,0,28.7,185,91,1.94,2,0,1013,8,"July182013P22.dat",190
16,21,18,7,12,5,737,0,0,0,0,28.7,195,96,1.94,2,0,1013,8,"July182013P22.dat",200
16,22,18,7,12,5,747,0,0,0,0,28.7,205,100,1.95,2,0,1013,8,"July182013P22.dat",210
16,23,18,7,12,5,757,0,0,0,0,28.7,215,105,1.95,2,0,1013,8,"July182013P22.dat",220
16,24,18,7,12,5,767,0,0,0,0,28.7,225,110,1.95,2,0,1013,8,"July182013P22.dat",230
16,25,18,7,12,5,778,0,0,0,0,28.6,235,115,1.94,2,0,1013,8,"July182013P22.dat",240
16,26,18,7,12,5,788,0,0,0,0,28.6,245,120,1.93,2,0,1013,8,"July182013P22.dat",250
16,27,18,7,12,5,796,0,0,0,0,28.6,255,124,1.94,2,0,1013,8,"July182013P22.dat",260
16,28,18,7,12,5,806,0,0,0,0,28.6,264,129,1.95,2,0,1013,8,"July182013P22.dat",270
16,29,18,7,12,6,816,0,0,0,0,28.6,274,134,1.95,2,0,1013,8,"July182013P22.dat",280
16,30,18,7,12,6,828,0,0,0,0,28.6,284,139,1.95,2,0,1013,8,"July182013P22.dat",290
16,31,18,7,12,6,838,0,0,0,0,28.6,294,144,1.94,2,0,1013,8,"July182013P22.dat",300
16,32,18,7,12,6,846,0,0,0,0,28.6,304,148,1.95,2,0,1013,8,"July182013P22.dat",310
16,33,18,7,12,6,855,0,0,0,0,28.6,314,153,1.95,2,0,1013,8,"July182013P22.dat",320
24,1,18,7,13,23,460,0,0,0,0,28.4,0,0,0,2,0,1013,8,"July182013P22.dat",0
24,2,18,7,13,23,461,0,0,0,0,28.4,0,4,0,2,0,1013,8,"July182013P22.dat",10
24,3,18,7,13,23,463,0,0,0,0,28.4,0,9,0,2,0,1013,8,"July182013P22.dat",20
24,4,18,7,13,23,464,0,0,0,0,28.4,4,14,0.28,2,0,1013,8,"July182013P22.dat",30
24,5,18,7,13,23,465,0,0,0,0,28.4,5,19,0.28,2,0,1013,8,"July182013P22.dat",40
24,6,18,7,13,24,467,0,0,0,0,28.4,6,24,0.27,2,0,1013,8,"July182013P22.dat",50
24,7,18,7,13,24,468,0,0,0,0,28.4,8,28,0.28,2,0,1013,8,"July182013P22.dat",60
24,8,18,7,13,24,469,0,0,0,0,28.4,9,33,0.27,2,0,1013,8,"July182013P22.dat",70
24,9,18,7,13,24,471,0,0,0,0,28.4,11,38,0.27,2,0,1013,8,"July182013P22.dat",80
24,10,18,7,13,24,472,0,0,0,0,28.4,12,43,0.27,2,0,1013,8,"July182013P22.dat",90
24,11,18,7,13,24,473,0,0,0,0,28.5,13,48,0.27,2,0,1013,8,"July182013P22.dat",100
24,12,18,7,13,24,475,0,0,0,0,28.5,14,52,0.27,2,0,1013,8,"July182013P22.dat",110
24,13,18,7,13,24,476,0,0,0,0,28.5,16,57,0.27,2,0,1013,8,"July182013P22.dat",120
24,14,18,7,13,24,477,0,0,0,0,28.5,17,62,0.26,2,0,1013,8,"July182013P22.dat",130
24,15,18,7,13,24,478,0,0,0,0,28.5,18,67,0.26,2,0,1013,8,"July182013P22.dat",140
